Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2018010080971,1,1,2,2,50,8,3,0,0,2,0,0,9,1,8
2018010080971,2,2,1,1,48,8,3,0,0,0,0,0,8,1,1
2018010080973,1,1,3,1,29,6,3,5,1,0,0,2,0,1,3
2018010080974,1,1,1,1,40,7,3,0,0,0,0,0,8,1,3
2018010080981,1,1,1,1,27,6,2,0,0,0,0,0,9,1,7
2018010080982,1,1,1,1,43,7,3,0,0,0,0,0,8,1,4
2018010080982,2,2,2,2,58,9,2,0,0,1,0,0,9,1,3
2018010080983,1,1,2,1,69,10,3,0,0,1,0,0,9,1,10
2018010080983,1,2,2,1,56,9,3,0,0,2,0,0,9,1,10
2018010080983,1,3,2,2,60,9,3,0,0,2,0,0,9,1,10
2018010080983,2,4,1,2,41,7,3,0,0,0,0,0,9,1,9
2018010080986,2,1,1,1,27,6,2,0,0,0,0,0,1,1,3
2018010080987,1,1,1,2,36,7,3,0,0,0,0,0,8,1,3
2018010080990,2,1,1,1,31,6,3,0,0,0,0,0,3,1,6
2018010080992,1,1,1,1,34,6,2,0,0,0,0,0,2,1,2
2018010080993,1,1,3,1,46,8,2,5,4,0,0,2,0,1,1
2018010080994,1,1,3,1,19,4,3,5,9,0,0,2,0,1,2
2018010080995,1,1,1,1,27,6,2,0,0,0,0,0,9,1,6
2018010080995,1,2,2,1,26,6,2,0,0,1,0,0,9,1,2
2018010080995,1,3,2,1,18,4,3,0,0,2,0,0,9,1,1
2018010080995,1,4,2,1,18,4,3,0,0,2,0,0,9,1,10
2018010080995,1,5,2,1,23,5,3,0,0,2,0,0,9,-1,-1
2018010080995,2,6,1,1,28,6,2,0,0,0,0,0,9,1,8
2018010080995,2,7,2,2,23,5,2,0,0,1,0,0,9,-1,-1
2018010080996,2,1,1,1,34,6,3,0,0,0,0,0,3,1,4
2018010080997,1,1,1,1,31,6,3,0,0,0,0,0,9,1,3
2018010081002,1,1,1,1,38,7,3,0,0,0,0,0,5,1,4
2018010081003,2,1,1,1,44,7,2,0,0,0,0,0,1,1,3
2018010081009,2,1,1,1,35,6,3,0,0,0,0,0,3,1,3
2018010081025,1,1,1,1,41,7,3,0,0,0,0,0,9,1,2
2018010081025,1,2,2,1,40,7,3,0,0,1,0,0,9,1,2
2018010081025,2,3,2,2,27,6,3,0,0,1,0,0,9,1,3
2018010081035,1,1,3,2,62,9,3,5,3,0,0,2,0,-1,-1
2018010081044,1,1,2,2,52,8,3,0,0,0,2,0,11,1,1
2018010081054,1,1,3,1,8,2,2,10,9,0,0,2,0,1,1
2018010081059,1,1,3,1,-1,-1,3,1,1,0,0,2,0,-1,-1
2018010081061,2,1,1,1,26,6,3,0,0,0,0,0,9,1,3
2018010081063,1,1,3,2,30,6,3,6,9,0,0,2,0,1,2
2018010081067,1,1,1,1,46,8,3,0,0,0,0,0,9,1,2
2018010081069,2,1,1,1,17,4,3,0,0,0,0,0,3,1,4
2018010081072,2,1,1,1,23,5,3,0,0,0,0,0,3,-1,-1
2018010081073,1,1,1,1,56,9,3,0,0,0,0,0,9,1,4
2018010081073,1,2,2,2,-1,-1,2,0,0,1,0,0,9,1,7
2018010081077,1,1,1,1,28,6,3,0,0,0,0,0,9,1,6
2018010081077,1,2,2,1,23,5,3,0,0,2,0,0,9,1,4
2018010081077,1,3,2,1,21,5,3,0,0,1,0,0,9,1,6
2018010081077,1,4,2,1,26,6,3,0,0,2,0,0,9,1,2
2018010081078,1,1,1,1,46,8,3,0,0,0,0,0,9,1,6
2018010081079,2,1,1,1,48,8,3,0,0,0,0,0,8,1,3
2018010081081,2,1,1,1,18,4,3,0,0,0,0,0,4,-1,-1
2018010081082,1,1,1,1,31,6,3,0,0,0,0,0,9,1,3
2018010081083,2,1,2,1,56,9,3,0,0,1,0,0,8,1,3
2018010081088,1,1,3,1,24,5,2,6,9,0,0,2,0,1,2
2018010081100,2,1,1,1,38,7,2,0,0,0,0,0,5,1,6
2018010081108,2,1,1,1,23,5,3,0,0,0,0,0,4,1,5
2018010081114,1,1,1,1,60,9,2,0,0,0,0,0,5,1,5
2018010081125,1,1,2,2,48,8,3,0,0,0,4,0,11,1,2
2018010081131,2,1,1,1,31,6,3,0,0,0,0,0,3,1,4
2018010081137,1,1,1,2,41,7,3,0,0,0,0,0,9,1,9
2018010081137,1,2,2,2,-1,-1,3,0,0,1,0,0,9,1,3
2018010081137,1,3,2,1,-1,-1,3,0,0,2,0,0,9,1,3
2018010081137,1,4,2,1,-1,-1,3,0,0,2,0,0,9,1,9
2018010081142,1,1,2,2,61,9,3,0,0,1,0,0,9,1,6
2018010081157,1,1,1,2,37,7,3,0,0,0,0,0,9,1,8
2018010081159,2,1,1,1,35,6,3,0,0,0,0,0,1,1,5
2018010081164,2,1,1,1,89,11,3,0,0,0,0,0,9,1,9
2018010081171,1,1,1,2,31,6,3,0,0,0,0,0,1,1,3
2018010081173,1,1,1,1,40,7,3,0,0,0,0,0,19,1,2
2018010081175,1,1,1,1,38,7,3,0,0,0,0,0,9,1,8
2018010081175,1,2,2,2,30,6,3,0,0,1,0,0,9,1,8
2018010081175,1,3,2,2,51,8,3,0,0,2,0,0,9,1,5
2018010081184,1,1,1,1,26,6,3,0,0,0,0,0,1,1,4
2018010081187,1,1,1,1,26,6,3,0,0,0,0,0,9,1,4
2018010081188,1,1,1,1,39,7,3,0,0,0,0,0,4,1,5
2018010081188,1,2,3,1,23,5,3,5,1,0,0,2,0,1,10
2018010081190,2,1,1,1,19,4,3,0,0,0,0,0,1,1,1
2018010081191,1,1,3,2,47,8,2,4,3,0,0,2,0,-1,-1
2018010081192,1,1,2,1,30,6,3,0,0,1,0,0,9,1,8
2018010081192,1,2,2,2,30,6,3,0,0,2,0,0,9,1,8
2018010081192,1,3,2,2,58,9,3,0,0,2,0,0,9,-1,-1
2018010081193,1,1,2,1,79,11,3,0,0,1,0,0,8,1,4
2018010081193,1,2,2,2,32,6,3,0,0,2,0,0,8,1,1
2018010081194,1,1,1,1,65,9,3,0,0,0,0,0,9,1,8
2018010081196,1,1,1,2,63,9,3,0,0,0,0,0,9,1,4
2018010081197,1,1,1,2,23,5,3,0,0,0,0,0,1,1,5
2018010081202,1,1,3,2,31,6,2,5,3,0,0,2,0,1,2
2018010081213,2,1,1,1,19,4,2,0,0,0,0,0,9,-1,-1
2018010081219,1,1,3,2,31,6,3,10,9,0,0,2,0,1,3
2018010081220,1,1,3,1,35,6,3,9,9,0,0,2,0,1,7
2018010081223,1,1,3,1,30,6,3,10,9,0,0,2,0,1,7
2018010081237,2,1,2,2,52,8,3,0,0,1,0,0,9,1,4
2018010081238,3,1,2,2,24,5,2,0,0,1,0,0,9,1,2
2018010081243,2,1,1,1,24,5,3,0,0,0,0,0,9,1,5
2018010081258,1,1,1,1,41,7,3,0,0,0,0,0,8,1,2
2018010081262,1,1,2,1,85,11,3,0,0,0,3,0,11,1,4
2018010081268,1,1,3,1,53,8,3,1,1,0,0,2,0,-1,-1
2018010081271,1,1,2,1,6,2,2,0,0,2,0,0,9,1,6
2018010081271,2,2,1,1,66,10,3,0,0,0,0,0,9,1,4
2018010081274,1,1,1,1,22,5,3,0,0,0,0,0,19,1,4
2018010081278,2,1,1,1,22,5,3,0,0,0,0,0,1,1,3
2018010081281,2,1,1,1,13,3,3,0,0,0,0,0,1,1,7
2018010081286,1,1,2,2,52,8,3,0,0,0,3,0,11,1,3
2018010081296,2,1,1,1,40,7,3,0,0,0,0,0,1,1,4
2018010081298,2,1,3,2,-1,-1,3,10,9,0,0,2,0,-1,-1
2018010081301,1,1,3,1,23,5,3,10,9,0,0,2,0,1,4
2018010081305,1,1,1,1,26,6,3,0,0,0,0,0,9,1,3
2018010081318,2,1,2,2,37,7,3,0,0,0,0,0,10,1,4
2018010081320,1,1,1,1,31,6,3,0,0,0,0,0,9,1,2
2018010081321,1,1,2,2,66,10,3,0,0,0,3,0,11,1,3
2018010081321,1,2,2,1,3,1,3,0,0,0,4,0,11,1,3
2018010081322,1,1,3,1,36,7,3,5,9,0,0,2,0,1,5
2018010081323,1,1,3,2,43,7,3,1,1,0,0,2,0,1,2
2018010081329,2,1,1,1,31,6,3,0,0,0,0,0,1,1,7
2018010081330,1,1,1,1,41,7,3,0,0,0,0,0,9,1,4
2018010081331,1,1,1,1,36,7,3,0,0,0,0,0,9,1,5
2018010081335,1,1,3,1,43,7,3,1,9,0,0,2,0,1,1
2018010081335,1,2,3,2,40,7,3,1,9,0,0,2,0,1,1
2018010081336,1,1,3,1,57,9,2,5,3,0,0,2,0,1,2
2018010081338,1,1,1,2,44,7,3,0,0,0,0,0,9,1,2
2018010081339,1,1,1,1,36,7,3,0,0,0,0,0,5,1,5
2018010081343,1,1,3,2,14,3,3,5,1,0,0,2,0,1,1
2018010081345,1,1,1,2,27,6,3,0,0,0,0,0,9,1,2
2018010081345,1,2,2,2,27,6,3,0,0,1,0,0,9,1,7
2018010081348,2,1,1,1,17,4,3,0,0,0,0,0,3,1,5
2018010081355,1,1,1,2,32,6,3,0,0,0,0,0,19,1,4
2018010081356,1,1,3,1,14,3,3,8,3,0,0,2,0,1,2
2018010081361,2,1,1,1,22,5,3,0,0,0,0,0,9,1,6
2018010081362,1,1,3,1,14,3,3,5,2,0,0,2,0,1,2
2018010081366,2,1,1,2,75,10,3,0,0,0,0,0,9,1,8
2018010081368,1,1,1,1,25,5,3,0,0,0,0,0,1,1,3
2018010081369,1,1,1,1,23,5,3,0,0,0,0,0,5,1,3
2018010081372,1,1,3,2,27,6,2,4,3,0,0,2,0,1,6
2018010081376,1,1,3,1,29,6,3,5,2,0,0,2,0,1,7
2018010081379,2,1,1,1,23,5,3,0,0,0,0,0,9,1,2
2018010081379,2,2,2,1,24,5,3,0,0,1,0,0,9,1,2
2018010081380,1,1,1,1,26,6,3,0,0,0,0,0,3,1,1
2018010081384,1,1,3,2,33,6,3,1,3,0,0,2,0,1,1
2018010081386,2,1,1,1,19,4,3,0,0,0,0,0,3,1,5
2018010081387,2,1,1,1,16,4,3,0,0,0,0,0,4,1,1
2018010081389,2,1,1,2,46,8,2,0,0,0,0,0,2,1,2
2018010081395,1,1,1,1,44,7,3,0,0,0,0,0,1,1,2
2018010081395,1,2,3,1,37,7,3,1,1,0,0,2,0,-1,-1
2018010081415,1,1,1,1,53,8,2,0,0,0,0,0,3,1,3
2018010081429,1,1,3,2,75,10,3,6,9,0,0,2,0,1,7
2018010081441,2,1,1,1,49,8,3,0,0,0,0,0,1,1,2
2018010081455,1,1,3,1,79,11,3,8,5,0,0,2,0,1,8
2018010081460,1,1,2,1,21,5,3,0,0,1,0,0,9,1,5
2018010081478,1,1,1,2,37,7,3,0,0,0,0,0,9,1,2
2018010081485,2,1,1,2,42,7,3,0,0,0,0,0,1,1,7
2018010081501,2,1,2,1,35,6,2,0,0,2,0,0,8,1,7
2018010081501,2,2,1,1,29,6,3,0,0,0,0,0,8,1,8
2018010081502,1,1,1,1,62,9,3,0,0,0,0,0,19,3,9
2018010081510,1,1,1,1,32,6,3,0,0,0,0,0,1,1,6
2018010081515,1,1,3,2,88,11,3,5,1,0,0,2,0,1,3
2018010081522,2,1,1,1,28,6,3,0,0,0,0,0,3,1,3
2018010081523,1,1,1,1,55,8,3,0,0,0,0,0,1,1,9
2018010081526,1,1,1,1,22,5,3,0,0,0,0,0,9,1,4
2018010081529,2,1,1,2,64,9,3,0,0,0,0,0,9,1,3
2018010081529,2,2,2,2,18,4,3,0,0,1,0,0,9,1,3
2018010081538,1,1,3,2,52,8,3,5,2,0,0,2,0,1,10
2018010081555,1,1,3,1,46,8,3,10,9,0,0,2,0,1,5
2018010081560,1,1,1,1,36,7,3,0,0,0,0,0,9,1,7
2018010081561,1,1,3,2,8,2,3,1,4,0,0,2,0,1,4
2018010081565,1,1,3,2,67,10,1,5,1,0,0,2,0,1,3
2018010081576,1,1,3,1,11,3,3,8,9,0,0,2,0,1,9
2018010081578,1,1,1,1,30,6,2,0,0,0,0,0,9,1,2
2018010081579,1,1,2,1,77,11,3,0,0,0,3,0,11,1,1
2018010081579,1,2,2,2,52,8,2,0,0,0,3,0,11,1,3
2018010081583,1,1,3,2,-1,-1,3,6,9,0,0,2,0,1,3
2018010081585,1,1,3,2,51,8,2,5,1,0,0,2,0,1,2
2018010081589,1,1,1,2,34,6,3,0,0,0,0,0,9,1,2
2018010081596,1,1,1,2,29,6,3,0,0,0,0,0,1,1,4
2018010081598,1,1,2,2,77,11,3,0,0,1,0,0,9,1,7
2018010081599,1,1,1,2,36,7,3,0,0,0,0,0,9,1,1
2018010081602,2,1,1,1,54,8,3,0,0,0,0,0,9,1,2
2018010081603,1,1,1,1,59,9,3,0,0,0,0,0,9,1,3
2018010081604,1,1,1,2,43,7,3,0,0,0,0,0,9,1,1
2018010081607,1,1,1,1,53,8,3,0,0,0,0,0,9,1,10
2018010081607,1,2,3,2,47,8,1,10,9,0,0,2,0,1,9
2018010081607,1,3,2,1,23,5,3,0,0,2,0,0,9,1,10
2018010081607,1,4,2,1,23,5,3,0,0,2,0,0,9,-1,-1
2018010081608,2,1,1,2,23,5,3,0,0,0,0,0,3,1,4
2018010081609,2,1,1,1,31,6,3,0,0,0,0,0,3,1,5
2018010081612,1,1,2,1,36,7,3,0,0,1,0,0,8,1,2
2018010081615,2,1,1,2,56,9,3,0,0,0,0,0,1,1,9
2018010081617,1,1,1,1,22,5,3,0,0,0,0,0,3,1,6
2018010081617,2,2,1,2,35,6,3,0,0,0,0,0,9,1,4
2018010081618,1,1,3,1,63,9,3,5,4,0,0,2,0,-1,-1
2018010081622,1,1,1,1,43,7,3,0,0,0,0,0,1,1,3
2018010081624,2,1,1,2,33,6,3,0,0,0,0,0,9,1,1
2018010081624,2,2,2,1,37,7,3,0,0,1,0,0,9,1,1
2018010081624,2,3,2,2,4,1,2,0,0,2,0,0,9,1,1
2018010081624,2,4,2,1,3,1,3,0,0,2,0,0,9,1,1
2018010081626,1,1,1,1,49,8,3,0,0,0,0,0,9,1,5
2018010081626,2,2,1,1,43,7,3,0,0,0,0,0,8,1,1
2018010081642,2,1,1,2,52,8,3,0,0,0,0,0,1,1,4
2018010081655,2,1,1,1,37,7,3,0,0,0,0,0,1,1,3
2018010081657,1,1,3,1,84,11,3,5,1,0,0,2,0,1,9
2018010081663,1,1,1,1,53,8,3,0,0,0,0,0,19,1,2
2018010081670,1,1,1,1,27,6,3,0,0,0,0,0,8,1,3
2018010081673,2,1,1,2,43,7,3,0,0,0,0,0,1,1,10
2018010081677,2,1,1,1,43,7,3,0,0,0,0,0,2,1,6
2018010081690,1,1,1,2,60,9,3,0,0,0,0,0,9,1,6
2018010081703,1,1,2,2,32,6,3,0,0,0,3,0,11,1,5
2018010081704,2,1,3,2,35,6,3,9,5,0,0,2,0,1,6
2018010081705,1,1,3,1,42,7,3,5,9,0,0,2,0,1,7
2018010081706,1,1,1,1,31,6,3,0,0,0,0,0,3,1,10
2018010081711,1,1,1,1,46,8,3,0,0,0,0,0,11,1,2
2018010081713,1,1,1,1,41,7,3,0,0,0,0,0,8,1,6
2018010081715,1,1,2,2,41,7,3,0,0,0,3,0,11,1,2
2018010081716,1,1,3,1,77,11,3,1,3,0,0,2,0,1,4
2018010081723,1,1,1,2,79,11,3,0,0,0,0,0,9,1,9
2018010081727,1,1,1,1,56,9,3,0,0,0,0,0,8,1,4
2018010081728,1,1,3,2,42,7,3,1,3,0,0,2,0,1,3
2018010081730,2,1,1,1,30,6,3,0,0,0,0,0,1,1,2
2018010081734,1,1,3,2,61,9,3,5,1,0,0,2,0,1,3
2018010081737,1,1,1,1,18,4,2,0,0,0,0,0,4,1,3
2018010081737,3,2,1,1,59,9,3,0,0,0,0,0,9,3,9
2018010081741,1,1,3,2,18,4,3,10,9,0,0,2,0,1,3
2018010081743,1,1,1,1,31,6,2,0,0,0,0,0,5,1,4
2018010081744,2,1,1,1,57,9,3,0,0,0,0,0,3,1,1
